,X,Y,Z
0,8.785,5.125,1.73
1,9.375,3.0625,0.85
2,2.135,5.845,1.6544
3,0.0,3.0625,1.39
4,8.575,5.625,0.38
5,9.375,3.0625,1.18
6,1.915,5.845,1.4476
7,9.375,3.0625,1.69
8,9.375,3.0625,1.89
9,8.575,5.625,1.13
10,1.015,5.845,0.6016
11,8.575,5.625,1.69
12,7.875,5.125,1.0475
13,9.375,3.0625,0.61
14,7.605,5.125,0.845
15,2.395,5.845,1.8988
16,0.0,3.0625,1.86
17,9.375,3.0625,0.81
18,9.375,3.0625,0.73
19,8.575,5.625,1.06
20,8.345,5.125,1.4
21,2.615,5.845,2.1056
22,6.945,5.125,0.35
23,0.0,3.0625,1.16
24,8.575,5.625,1.45
25,9.375,3.0625,1.85
26,8.575,5.625,1.48
27,7.505,5.125,0.77
28,7.345,5.125,0.65
29,1.795,5.845,1.3348
30,8.685,5.125,1.655
31,7.445,5.125,0.725
32,7.515,5.125,0.7775
33,2.055,5.845,1.5792
34,1.075,5.845,0.658
35,0.0,3.0625,1.82
36,8.575,5.625,1.35
37,0.0,3.0625,1.4
38,8.575,5.625,0.94
39,8.535,5.125,1.5425
40,8.425,5.125,1.46
41,9.375,3.0625,1.64
42,2.755,5.845,2.2372
43,7.365,5.125,0.665
44,8.575,5.625,1.75
45,7.645,5.125,0.875
46,9.375,3.0625,1.9
47,8.575,5.625,1.71
48,8.165,5.125,1.265
49,8.575,5.625,0.86
50,7.025,5.125,0.41
51,0.615,5.845,0.2256
52,2.515,5.845,2.0116
53,8.695,5.125,1.6625
54,2.835,5.845,2.3124
55,8.575,5.625,1.51
56,9.375,3.0625,1.17
57,7.405,5.125,0.695
58,2.605,5.845,2.0962
59,8.375,5.125,1.4225
60,9.035,5.125,1.9175
61,0.0,3.0625,1.71
62,9.375,3.0625,1.63
63,1.675,5.845,1.222
64,0.565,5.845,0.1786
65,8.265,5.125,1.34
66,8.675,5.125,1.6475
67,9.375,3.0625,0.5
68,0.495,5.845,0.1128
69,1.195,5.845,0.7708
70,0.0,3.0625,1.11
71,0.0,3.0625,1.1
72,1.115,5.845,0.6956
73,8.575,5.625,1.09
74,8.575,5.625,0.58
75,8.555,5.125,1.5575
76,2.745,5.845,2.2278
77,8.575,5.625,1.76
78,9.375,3.0625,0.74
79,9.375,3.0625,1.72
80,1.025,5.845,0.611
81,9.375,3.0625,1.55
82,1.465,5.845,1.0246
83,9.375,3.0625,1.92
84,9.375,3.0625,0.88
85,0.505,5.845,0.1222
86,0.0,3.0625,1.6
87,0.0,3.0625,1.46
88,0.0,3.0625,1.88
89,9.375,3.0625,1.87
90,8.875,5.125,1.7975
91,2.095,5.845,1.6168
92,2.365,5.845,1.8706
93,8.365,5.125,1.415
94,0.0,3.0625,1.91
95,1.755,5.845,1.2972
96,7.005,5.125,0.395
97,8.575,5.625,1.74
98,8.575,5.625,1.19
99,0.0,3.0625,1.22
100,7.075,5.125,0.4475
101,8.575,5.625,1.52
102,8.575,5.625,1.36
103,7.285,5.125,0.605
104,8.815,5.125,1.7525
105,0.395,5.845,0.0188
106,2.465,5.845,1.9646
107,2.545,5.845,2.0398
108,0.0,3.0625,1.01
109,8.825,5.125,1.76
110,9.375,3.0625,1.74
111,9.015,5.125,1.9025
112,8.575,5.625,1.39
113,9.375,3.0625,0.52
114,8.575,5.625,1.27
115,9.375,3.0625,0.83
116,8.575,5.625,0.96
117,8.655,5.125,1.6325
118,8.575,5.625,1.63
119,2.665,5.845,2.1526
120,0.0,3.0625,1.35
121,2.495,5.845,1.9928
122,8.575,5.625,1.29
123,1.845,5.845,1.3818
124,8.575,5.625,0.92
125,9.375,3.0625,0.67
126,2.035,5.845,1.5604
127,7.835,5.125,1.0175
128,1.335,5.845,0.9024
129,8.575,5.625,0.97
130,0.0,3.0625,1.47
131,1.305,5.845,0.8742
132,9.375,3.0625,1.61
133,9.085,5.125,1.955
134,8.575,5.625,0.89
135,9.375,3.0625,0.78
136,8.575,5.625,1.16
137,2.865,5.845,2.3406
138,6.995,5.125,0.3875
139,9.375,3.0625,1.54
140,8.575,5.625,1.73
141,8.985,5.125,1.88
142,8.575,5.625,1.12
143,9.375,3.0625,1.03
144,0.0,3.0625,1.33
145,1.945,5.845,1.4758
146,9.055,5.125,1.9325
147,2.375,5.845,1.88
148,9.375,3.0625,0.84
149,8.575,5.625,0.39
150,7.595,5.125,0.8375
151,0.0,3.0625,1.85
152,8.575,5.625,0.68
153,0.0,3.0625,1.09
154,8.195,5.125,1.2875
155,9.375,3.0625,1.14
156,2.285,5.845,1.7954
157,1.295,5.845,0.8648
158,8.575,5.625,1.22
159,0.795,5.845,0.3948
160,8.965,5.125,1.865
161,8.775,5.125,1.7225
162,8.325,5.125,1.385
163,7.155,5.125,0.5075
164,0.0,3.0625,1.79
165,1.955,5.845,1.4852
166,8.575,5.625,1.0
167,8.575,5.625,1.49
168,8.065,5.125,1.19
169,1.045,5.845,0.6298
170,8.575,5.625,0.5
171,9.375,3.0625,1.2
172,9.375,3.0625,1.81
173,9.375,3.0625,0.8
174,0.775,5.845,0.376
175,1.125,5.845,0.705
176,1.475,5.845,1.034
177,9.375,3.0625,0.72
178,9.375,3.0625,1.35
179,8.565,5.125,1.565
180,7.625,5.125,0.86
181,9.375,3.0625,1.34
182,8.575,5.625,1.1
183,0.0,3.0625,1.58
184,0.0,3.0625,1.64
185,8.575,5.625,1.42
186,9.375,3.0625,1.0
187,2.005,5.845,1.5322
188,7.265,5.125,0.59
189,9.375,3.0625,1.29
190,8.125,5.125,1.235
191,9.375,3.0625,0.6
192,0.0,3.0625,0.98
193,1.765,5.845,1.3066
194,1.445,5.845,1.0058
195,0.0,3.0625,1.69
196,7.715,5.125,0.9275
197,9.375,3.0625,0.97
198,8.115,5.125,1.2275
199,9.005,5.125,1.895
200,8.175,5.125,1.2725
201,8.575,5.625,1.72
202,9.375,3.0625,0.55
203,8.585,5.125,1.58
204,2.175,5.845,1.692
205,8.575,5.625,1.25
206,0.0,3.0625,1.89
207,0.955,5.845,0.5452
208,9.065,5.125,1.94
209,1.575,5.845,1.128
210,7.735,5.125,0.9425
211,9.375,3.0625,0.86
212,0.0,3.0625,1.32
213,8.575,5.625,1.37
214,8.575,5.625,0.46
215,0.585,5.845,0.1974
216,2.015,5.845,1.5416
217,8.575,5.625,0.56
218,2.635,5.845,2.1244
219,1.435,5.845,0.9964
220,0.765,5.845,0.3666
221,8.575,5.625,0.55
222,7.915,5.125,1.0775
223,8.455,5.125,1.4825
224,7.975,5.125,1.1225
225,7.815,5.125,1.0025
226,8.575,5.625,0.41
227,0.925,5.845,0.517
228,0.0,3.0625,1.29
229,8.625,5.125,1.61
230,0.0,3.0625,1.61
231,8.755,5.125,1.7075
232,7.575,5.125,0.8225
233,8.735,5.125,1.6925
234,0.645,5.845,0.2538
235,9.375,3.0625,1.91
236,0.555,5.845,0.1692
237,0.915,5.845,0.5076
238,9.375,3.0625,1.26
239,9.375,3.0625,0.9
240,8.575,5.625,1.32
241,2.555,5.845,2.0492
242,0.625,5.845,0.235
243,1.585,5.845,1.1374
244,8.865,5.125,1.79
245,2.445,5.845,1.9458
246,7.255,5.125,0.5825
247,8.575,5.625,1.21
248,0.965,5.845,0.5546
249,7.825,5.125,1.01
250,1.175,5.845,0.752
251,0.0,3.0625,1.65
252,9.375,3.0625,1.28
253,8.925,5.125,1.835
254,9.125,5.125,1.985
255,7.905,5.125,1.07
256,0.885,5.845,0.4794
257,9.375,3.0625,0.59
258,7.955,5.125,1.1075
259,8.575,5.625,0.53
260,9.375,3.0625,0.99
261,8.575,5.625,1.01
262,8.245,5.125,1.325
263,1.085,5.845,0.6674
264,0.0,3.0625,1.28
265,9.375,3.0625,1.46
266,1.995,5.845,1.5228
267,7.945,5.125,1.1
268,0.0,3.0625,1.57
269,0.0,3.0625,1.0
270,8.575,5.625,1.26
271,9.375,3.0625,1.51
272,0.0,3.0625,1.67
273,8.575,5.625,1.23
274,1.745,5.845,1.2878
275,8.315,5.125,1.3775
276,8.575,5.625,0.42
277,8.575,5.625,0.37
278,8.545,5.125,1.55
279,8.215,5.125,1.3025
280,9.105,5.125,1.97
281,9.375,3.0625,1.16
282,9.375,3.0625,1.83
283,2.115,5.845,1.6356
284,1.135,5.845,0.7144
285,1.365,5.845,0.9306
286,8.795,5.125,1.7375
287,2.845,5.845,2.3218
288,8.575,5.625,1.6
289,9.375,3.0625,1.3
290,8.575,5.625,0.69
291,2.385,5.845,1.8894
292,7.675,5.125,0.8975
293,9.375,3.0625,0.57
294,0.455,5.845,0.0752
295,9.375,3.0625,0.94
296,8.575,5.625,1.53
297,8.025,5.125,1.16
298,8.575,5.625,1.14
299,9.145,5.125,2.0
300,6.955,5.125,0.3575
301,9.375,3.0625,1.23
302,8.155,5.125,1.2575
303,8.575,5.625,0.45
304,1.815,5.845,1.3536
305,8.075,5.125,1.1975
306,1.165,5.845,0.7426
307,2.145,5.845,1.6638
308,9.375,3.0625,0.69
309,9.375,3.0625,0.93
310,1.805,5.845,1.3442
311,1.035,5.845,0.6204
312,9.375,3.0625,1.43
313,9.375,3.0625,1.08
314,9.095,5.125,1.9625
315,9.375,3.0625,1.33
316,8.845,5.125,1.775
317,0.845,5.845,0.4418
318,8.575,5.625,0.9
319,0.0,3.0625,1.75
320,1.655,5.845,1.2032
321,8.095,5.125,1.2125
322,7.235,5.125,0.5675
323,0.985,5.845,0.5734
324,8.645,5.125,1.625
325,1.415,5.845,0.9776
326,7.195,5.125,0.5375
327,0.975,5.845,0.564
328,9.375,3.0625,0.58
329,9.375,3.0625,1.7
330,7.495,5.125,0.7625
331,8.575,5.625,1.18
332,8.355,5.125,1.4075
333,1.725,5.845,1.269
334,8.575,5.625,0.82
335,0.0,3.0625,1.56
336,2.295,5.845,1.8048
337,0.515,5.845,0.1316
338,2.805,5.845,2.2842
339,9.375,3.0625,0.65
340,8.575,5.625,1.56
341,2.855,5.845,2.3312
342,1.495,5.845,1.0528
343,7.615,5.125,0.8525
344,8.575,5.625,0.57
345,7.335,5.125,0.6425
346,0.0,3.0625,1.23
347,1.875,5.845,1.41
348,8.725,5.125,1.685
349,2.705,5.845,2.1902
350,9.375,3.0625,1.79
351,8.575,5.625,0.74
352,2.025,5.845,1.551
353,8.105,5.125,1.22
354,9.025,5.125,1.91
355,1.885,5.845,1.4194
356,7.895,5.125,1.0625
357,1.055,5.845,0.6392
358,8.575,5.625,0.67
359,0.0,3.0625,1.07
360,8.575,5.625,0.98
361,9.375,3.0625,0.98
362,2.525,5.845,2.021
363,1.485,5.845,1.0434
364,0.725,5.845,0.329
365,7.985,5.125,1.13
366,7.095,5.125,0.4625
367,9.375,3.0625,1.19
368,9.375,3.0625,1.75
369,8.745,5.125,1.7
370,8.575,5.625,0.79
371,2.625,5.845,2.115
372,8.575,5.625,0.77
373,8.575,5.625,0.65
374,9.375,3.0625,1.48
375,8.015,5.125,1.1525
376,1.385,5.845,0.9494
377,8.575,5.625,1.11
378,8.575,5.625,1.79
379,8.575,5.625,0.75
380,8.235,5.125,1.3175
381,1.345,5.845,0.9118
382,0.0,3.0625,1.84
383,8.955,5.125,1.8575
384,8.575,5.625,1.44
385,7.635,5.125,0.8675
386,2.875,5.845,2.35
387,0.385,5.845,0.0094
388,7.415,5.125,0.7025
389,7.135,5.125,0.4925
390,8.575,5.625,0.64
391,9.375,3.0625,1.39
392,8.575,5.625,1.17
393,9.375,3.0625,0.75
394,1.325,5.845,0.893
395,1.505,5.845,1.0622
396,0.0,3.0625,1.54
397,8.575,5.625,1.02
398,1.215,5.845,0.7896
399,8.575,5.625,1.66
400,8.575,5.625,1.41
401,8.575,5.625,0.66
402,2.065,5.845,1.5886
403,0.755,5.845,0.3572
404,1.515,5.845,1.0716
405,2.575,5.845,2.068
406,2.475,5.845,1.974
407,8.305,5.125,1.37
408,8.615,5.125,1.6025
409,8.575,5.625,0.48
410,2.255,5.845,1.7672
411,7.455,5.125,0.7325
412,9.375,3.0625,0.77
413,8.805,5.125,1.745
414,8.205,5.125,1.295
415,7.175,5.125,0.5225
416,0.0,3.0625,1.73
417,7.115,5.125,0.4775
418,1.835,5.845,1.3724
419,8.575,5.625,0.4
420,0.0,3.0625,1.78
421,7.395,5.125,0.6875
422,9.375,3.0625,1.62
423,0.0,3.0625,1.83
424,2.505,5.845,2.0022
425,8.705,5.125,1.67
426,1.905,5.845,1.4382
427,7.015,5.125,0.4025
428,7.685,5.125,0.905
429,8.575,5.625,1.08
430,8.575,5.625,1.34
431,8.465,5.125,1.49
432,8.575,5.625,0.78
433,0.945,5.845,0.5358
434,7.695,5.125,0.9125
435,9.375,3.0625,1.45
436,8.575,5.625,1.5
437,0.405,5.845,0.0282
438,1.825,5.845,1.363
439,7.565,5.125,0.815
440,0.865,5.845,0.4606
441,9.375,3.0625,1.41
442,8.145,5.125,1.25
443,7.245,5.125,0.575
444,9.375,3.0625,1.04
445,2.325,5.845,1.833
446,0.0,3.0625,1.74
447,1.865,5.845,1.4006
448,8.905,5.125,1.82
449,7.665,5.125,0.89
450,2.765,5.845,2.2466
451,0.0,3.0625,1.19
452,9.375,3.0625,0.76
453,9.375,3.0625,1.65
454,0.855,5.845,0.4512
455,7.225,5.125,0.56
456,8.575,5.625,1.05
457,9.375,3.0625,0.53
458,9.375,3.0625,1.11
459,7.585,5.125,0.83
460,2.405,5.845,1.9082
461,0.815,5.845,0.4136
462,8.575,5.625,0.52
463,1.255,5.845,0.8272
464,8.295,5.125,1.3625
465,0.0,3.0625,1.04
466,8.575,5.625,0.35
467,7.805,5.125,0.995
468,2.275,5.845,1.786
469,0.0,3.0625,1.8
470,0.0,3.0625,1.51
471,0.735,5.845,0.3384
472,0.425,5.845,0.047
473,8.515,5.125,1.5275
474,7.555,5.125,0.8075
475,8.575,5.625,1.07
476,1.225,5.845,0.799
477,0.0,3.0625,1.53
478,1.005,5.845,0.5922
479,8.485,5.125,1.505
480,0.0,3.0625,1.76
481,8.575,5.625,0.73
482,7.275,5.125,0.5975
483,2.725,5.845,2.209
484,9.375,3.0625,0.92
485,1.425,5.845,0.987
486,8.575,5.625,0.59
487,0.0,3.0625,1.42
488,9.375,3.0625,1.01
489,0.935,5.845,0.5264
490,9.375,3.0625,1.12
491,8.575,5.625,1.04
492,1.595,5.845,1.1468
493,1.715,5.845,1.2596
494,8.575,5.625,1.7
495,1.615,5.845,1.1656
496,8.575,5.625,0.72
497,9.375,3.0625,1.38
498,1.855,5.845,1.3912
499,8.575,5.625,1.77
500,2.825,5.845,2.303
501,0.0,3.0625,1.7
502,7.935,5.125,1.0925
503,8.575,5.625,0.91
504,9.375,3.0625,1.36
505,2.795,5.845,2.2748
506,8.475,5.125,1.4975
507,0.0,3.0625,1.14
508,0.675,5.845,0.282
509,0.0,3.0625,1.05
510,7.855,5.125,1.0325
511,8.575,5.625,1.28
512,0.0,3.0625,1.52
513,0.0,3.0625,1.36
514,0.0,3.0625,1.13
515,8.575,5.625,0.83
516,7.385,5.125,0.68
517,2.715,5.845,2.1996
518,7.185,5.125,0.53
519,8.035,5.125,1.1675
520,9.375,3.0625,0.56
521,1.155,5.845,0.7332
522,1.245,5.845,0.8178
523,1.145,5.845,0.7238
524,0.0,3.0625,1.43
525,8.575,5.625,1.4
526,0.0,3.0625,1.34
527,0.0,3.0625,1.59
528,2.305,5.845,1.8142
529,8.575,5.625,1.03
530,8.005,5.125,1.145
531,0.485,5.845,0.1034
532,7.205,5.125,0.545
533,0.0,3.0625,1.49
534,9.375,3.0625,0.96
535,1.105,5.845,0.6862
536,8.575,5.625,0.51
537,0.0,3.0625,1.3
538,0.0,3.0625,1.17
539,9.375,3.0625,1.6
540,8.885,5.125,1.805
541,0.0,3.0625,1.9
542,7.105,5.125,0.47
543,8.575,5.625,0.8
544,8.575,5.625,0.99
545,9.375,3.0625,0.63
546,9.375,3.0625,1.1
547,1.695,5.845,1.2408
548,7.375,5.125,0.6725
549,0.0,3.0625,1.37
550,1.935,5.845,1.4664
551,9.375,3.0625,1.06
552,1.555,5.845,1.1092
553,0.0,3.0625,1.18
554,8.575,5.625,0.95
555,8.575,5.625,0.85
556,1.535,5.845,1.0904
557,1.895,5.845,1.4288
558,8.575,5.625,0.63
559,1.635,5.845,1.1844
560,8.185,5.125,1.28
561,7.035,5.125,0.4175
562,7.845,5.125,1.025
563,0.805,5.845,0.4042
564,8.975,5.125,1.8725
565,7.425,5.125,0.71
566,7.125,5.125,0.485
567,9.375,3.0625,1.22
568,9.135,5.125,1.9925
569,1.275,5.845,0.846
570,1.975,5.845,1.504
571,0.635,5.845,0.2444
572,0.0,3.0625,1.15
573,0.435,5.845,0.0564
574,9.375,3.0625,1.44
575,9.075,5.125,1.9475
576,8.575,5.625,1.68
577,9.375,3.0625,0.68
578,1.545,5.845,1.0998
579,7.315,5.125,0.6275
580,7.545,5.125,0.8
581,8.575,5.625,1.61
582,0.595,5.845,0.2068
583,9.375,3.0625,1.58
584,9.375,3.0625,1.67
585,1.185,5.845,0.7614
586,8.275,5.125,1.3475
587,9.375,3.0625,1.4
588,8.575,5.625,0.47
589,8.605,5.125,1.595
590,8.575,5.625,1.31
591,2.075,5.845,1.598
592,8.415,5.125,1.4525
593,8.385,5.125,1.43
594,1.625,5.845,1.175
595,1.685,5.845,1.2314
596,9.375,3.0625,0.95
597,8.575,5.625,1.24
598,1.965,5.845,1.4946
599,7.305,5.125,0.62
600,1.355,5.845,0.9212
601,0.665,5.845,0.2726
602,0.0,3.0625,1.02
603,9.375,3.0625,1.47
604,9.375,3.0625,1.59
605,7.745,5.125,0.95
606,8.575,5.625,1.43
607,9.375,3.0625,0.62
608,2.685,5.845,2.1714
609,2.585,5.845,2.0774
610,0.465,5.845,0.0846
611,9.375,3.0625,1.77
612,8.445,5.125,1.475
613,8.055,5.125,1.1825
614,2.125,5.845,1.645
615,8.575,5.625,0.61
616,1.375,5.845,0.94
617,0.905,5.845,0.4982
618,2.155,5.845,1.6732
619,2.435,5.845,1.9364
620,8.505,5.125,1.52
621,0.475,5.845,0.094
622,8.525,5.125,1.535
623,0.375,5.845,0.0
624,8.895,5.125,1.8125
625,1.265,5.845,0.8366
626,8.575,5.625,1.67
627,9.115,5.125,1.9775
628,8.575,5.625,0.76
629,7.045,5.125,0.425
630,8.995,5.125,1.8875
631,7.755,5.125,0.9575
632,8.575,5.625,0.44
633,8.335,5.125,1.3925
634,0.0,3.0625,0.99
635,1.605,5.845,1.1562
636,0.0,3.0625,1.24
637,9.375,3.0625,0.66
638,0.575,5.845,0.188
639,0.0,3.0625,1.66
640,8.575,5.625,0.84
641,9.375,3.0625,0.91
642,8.575,5.625,1.55
643,9.375,3.0625,1.86
644,7.145,5.125,0.5
645,9.375,3.0625,1.31
646,1.455,5.845,1.0152
647,0.0,3.0625,1.06
648,9.375,3.0625,1.05
649,7.965,5.125,1.115
650,8.665,5.125,1.64
651,0.995,5.845,0.5828
652,8.575,5.625,0.6
653,1.665,5.845,1.2126
654,0.0,3.0625,1.68
655,9.375,3.0625,1.73
656,2.735,5.845,2.2184
657,8.405,5.125,1.445
658,9.375,3.0625,1.68
659,0.0,3.0625,1.44
660,8.575,5.625,0.81
661,0.0,3.0625,1.62
662,8.575,5.625,0.93
663,9.375,3.0625,1.5
664,8.595,5.125,1.5875
665,7.775,5.125,0.9725
666,8.575,5.625,1.59
667,2.675,5.845,2.162
668,7.215,5.125,0.5525
669,9.375,3.0625,1.32
670,9.375,3.0625,1.82
671,8.575,5.625,1.8
672,0.0,3.0625,1.93
673,0.0,3.0625,1.48
674,8.575,5.125,1.5725
675,0.0,3.0625,1.21
676,2.165,5.845,1.6826
677,9.375,3.0625,1.27
678,9.375,3.0625,0.54
679,1.985,5.845,1.5134
680,8.575,5.625,0.54
681,9.375,3.0625,0.89
682,0.0,3.0625,1.63
683,2.225,5.845,1.739
684,7.475,5.125,0.7475
685,8.575,5.625,1.62
686,9.375,3.0625,1.15
687,0.695,5.845,0.3008
